,date,minimum,maximum,average
189,2021-07-09,43,3897,148
190,2021-07-10,80,1229,167
191,2021-07-11,41,1390,59
192,2021-07-12,28,960,28
193,2021-07-13,101,1014,149
194,2021-07-14,22,807,30
195,2021-07-15,40,1310,43
196,2021-07-16,70,2695,175
197,2021-07-17,53,2032,78
198,2021-07-18,21,2530,31
199,2021-07-19,46,4957,110
200,2021-07-20,42,3752,94
201,2021-07-21,27,2503,58
202,2021-07-22,20,2324,106
203,2021-07-23,84,2223,139
204,2021-07-24,142,4737,178
205,2021-07-25,78,4925,150
206,2021-07-26,32,3151,52
207,2021-07-27,20,4375,58
208,2021-07-28,47,4195,47
209,2021-07-29,64,4030,124
210,2021-07-30,74,2240,196
211,2021-07-31,26,4614,30
212,2021-08-01,30,2693,144
213,2021-08-02,35,1314,52
214,2021-08-03,77,4410,121
215,2021-08-04,62,3832,72
216,2021-08-05,45,1566,105
217,2021-08-06,29,2277,29
218,2021-08-07,153,3974,157
219,2021-08-08,139,499,174
220,2021-08-09,57,3275,147
221,2021-08-10,22,3810,27
222,2021-08-11,68,720,144
223,2021-08-12,51,453,176
224,2021-08-13,41,2417,106
225,2021-08-14,125,4272,137
226,2021-08-15,37,238,105
227,2021-08-16,24,2503,26
228,2021-08-17,57,3971,134
229,2021-08-18,57,3800,129
230,2021-08-19,20,2403,20
231,2021-08-20,109,2941,177
232,2021-08-21,78,2359,110
233,2021-08-22,20,1423,20
234,2021-08-23,70,2739,151
235,2021-08-24,74,1724,84
236,2021-08-25,38,3802,178
237,2021-08-26,31,2185,52
238,2021-08-27,79,799,82
239,2021-08-28,71,3509,71
240,2021-08-29,25,2268,113
241,2021-08-30,143,4456,165
242,2021-08-31,24,1697,29
243,2021-09-01,61,2369,161
244,2021-09-02,87,2907,183
245,2021-09-03,20,1783,112
246,2021-09-04,162,852,189
247,2021-09-05,56,759,86
248,2021-09-06,22,4734,130
249,2021-09-07,66,3790,103
250,2021-09-08,123,2872,153
251,2021-09-09,175,4513,198
252,2021-09-10,25,4143,25
253,2021-09-11,32,336,96
254,2021-09-12,24,4388,29
255,2021-09-13,125,1546,140
256,2021-09-14,98,1190,107
257,2021-09-15,64,3124,111
258,2021-09-16,79,2222,100
259,2021-09-17,30,1839,162
260,2021-09-18,26,2159,97
261,2021-09-19,49,2354,60
262,2021-09-20,21,2604,90
263,2021-09-21,45,405,54
264,2021-09-22,43,2127,49
265,2021-09-23,48,1066,79
266,2021-09-24,53,1121,120
267,2021-09-25,88,4610,113
268,2021-09-26,82,1504,129
269,2021-09-27,40,2810,100
270,2021-09-28,155,3081,178
271,2021-09-29,20,2867,47
272,2021-09-30,31,560,52
273,2021-10-01,38,2059,85
274,2021-10-02,39,1444,183
275,2021-10-03,36,2183,99
276,2021-10-04,20,585,24
277,2021-10-05,149,3297,159
278,2021-10-06,54,4338,124
279,2021-10-07,64,2502,177
280,2021-10-08,103,1895,103
281,2021-10-09,30,1973,31
282,2021-10-10,73,3536,169
283,2021-10-11,47,3120,63
284,2021-10-12,112,2789,191
285,2021-10-13,80,2916,107
286,2021-10-14,110,4521,148
287,2021-10-15,80,3100,81
288,2021-10-16,75,2527,181
289,2021-10-17,24,1159,116
290,2021-10-18,32,951,54
291,2021-10-19,131,1093,162
292,2021-10-20,45,4047,165
293,2021-10-21,109,384,158
294,2021-10-22,56,2735,153
295,2021-10-23,133,4571,155
296,2021-10-24,63,1180,186
297,2021-10-25,22,1186,54
298,2021-10-26,97,2806,156
299,2021-10-27,29,3354,35
300,2021-10-28,77,4931,156
301,2021-10-29,131,182,151
302,2021-10-30,46,184,94
303,2021-10-31,24,1385,106
304,2021-11-01,69,812,85
305,2021-11-02,20,4356,33
306,2021-11-03,92,2459,193
307,2021-11-04,45,2959,46
308,2021-11-05,79,3398,105
309,2021-11-06,23,838,25
310,2021-11-07,20,3707,137
311,2021-11-08,22,549,25
312,2021-11-09,39,907,84
313,2021-11-10,78,410,119
314,2021-11-11,55,1243,127
315,2021-11-12,23,2903,32
316,2021-11-13,125,2644,135
317,2021-11-14,43,3844,111
318,2021-11-15,71,4550,104
319,2021-11-16,119,152,138
320,2021-11-17,52,3389,129
321,2021-11-18,35,582,36
322,2021-11-19,73,3549,101
323,2021-11-20,34,2377,138
324,2021-11-21,44,2936,54
325,2021-11-22,144,1108,158
326,2021-11-23,45,3428,47
327,2021-11-24,45,4058,76
328,2021-11-25,44,3960,50
329,2021-11-26,39,1913,95
330,2021-11-27,85,1503,161
331,2021-11-28,34,1299,55
332,2021-11-29,28,1084,33
333,2021-11-30,62,3931,68
334,2021-12-01,81,4664,128
335,2021-12-02,26,2588,33
336,2021-12-03,20,1241,126
337,2021-12-04,34,864,47
338,2021-12-05,45,3712,124
339,2021-12-06,109,1863,157
340,2021-12-07,134,956,184
341,2021-12-08,82,829,171
342,2021-12-09,23,2019,23
343,2021-12-10,52,1659,104
344,2021-12-11,76,4983,89
345,2021-12-12,127,3968,196
346,2021-12-13,92,875,158
347,2021-12-14,40,1635,200
348,2021-12-15,36,4876,79
349,2021-12-16,43,2429,195
350,2021-12-17,36,2576,107
351,2021-12-18,73,4081,126
352,2021-12-19,30,2161,120
353,2021-12-20,20,1861,23
354,2021-12-21,63,126,91
355,2021-12-22,74,1735,84
356,2021-12-23,63,4906,131
357,2021-12-24,25,1815,196
358,2021-12-25,36,3581,140
359,2021-12-26,20,485,20
360,2021-12-27,47,843,108
361,2021-12-28,74,4560,77
362,2021-12-29,47,2577,168
363,2021-12-30,87,4987,87
364,2021-12-31,24,4596,26
365,2022-01-01,53,2012,100
366,2022-01-02,88,1526,89
367,2022-01-03,52,4098,111
368,2022-01-04,24,1515,29
369,2022-01-05,62,343,118
370,2022-01-06,51,860,63
371,2022-01-07,42,1096,77
372,2022-01-08,97,582,103
373,2022-01-09,64,748,108
374,2022-01-10,73,4214,147
375,2022-01-11,126,4557,183
376,2022-01-12,103,3673,132
377,2022-01-13,41,1191,72
378,2022-01-14,29,1984,33
379,2022-01-15,29,4735,29
380,2022-01-16,36,1597,123
381,2022-01-17,96,2785,200
382,2022-01-18,101,2183,167
383,2022-01-19,34,3167,56
384,2022-01-20,20,3264,20
385,2022-01-21,45,3944,52
386,2022-01-22,139,3188,145
387,2022-01-23,21,748,65
388,2022-01-24,27,4448,90
389,2022-01-25,27,2679,138
390,2022-01-26,31,4711,167
391,2022-01-27,154,718,177
392,2022-01-28,31,575,87
393,2022-01-29,28,3549,77
394,2022-01-30,49,4601,175
395,2022-01-31,120,1958,135
396,2022-02-01,127,2703,180
397,2022-02-02,57,1504,79
398,2022-02-03,21,3545,28
399,2022-02-04,41,4488,61
400,2022-02-05,28,2014,59
401,2022-02-06,44,2696,44
402,2022-02-07,144,2510,169
403,2022-02-08,37,4280,70
404,2022-02-09,25,2396,92
405,2022-02-10,35,4918,66
406,2022-02-11,51,2934,181
407,2022-02-12,48,245,79
408,2022-02-13,146,2366,171
409,2022-02-14,47,4940,191
410,2022-02-15,80,3970,109
411,2022-02-16,20,2314,20
412,2022-02-17,29,2529,89
413,2022-02-18,114,4978,164
414,2022-02-19,48,323,192
415,2022-02-20,28,4041,42
416,2022-02-21,119,1863,153
417,2022-02-22,56,3584,115
418,2022-02-23,93,4748,197
419,2022-02-24,97,3929,130
420,2022-02-25,24,2510,60
421,2022-02-26,26,3165,36
422,2022-02-27,20,1178,21
423,2022-02-28,39,1780,97
424,2022-03-01,32,3461,36
425,2022-03-02,76,203,116
426,2022-03-03,56,3146,63
427,2022-03-04,27,4679,100
428,2022-03-05,37,3570,52
429,2022-03-06,45,4756,128
430,2022-03-07,48,3520,77
431,2022-03-08,30,3537,69
432,2022-03-09,36,2609,39
433,2022-03-10,26,4125,53
434,2022-03-11,147,2122,194
435,2022-03-12,67,1496,77
436,2022-03-13,68,3132,110
437,2022-03-14,178,4106,186
438,2022-03-15,55,166,144
439,2022-03-16,111,226,162
440,2022-03-17,54,1635,169
441,2022-03-18,95,4497,200
442,2022-03-19,58,4600,102
443,2022-03-20,34,1247,35
444,2022-03-21,41,259,49
445,2022-03-22,117,464,149
446,2022-03-23,62,1544,120
447,2022-03-24,117,1374,125
448,2022-03-25,38,2286,40
449,2022-03-26,108,417,178
450,2022-03-27,76,3440,103
451,2022-03-28,47,1630,63
452,2022-03-29,46,2319,114
453,2022-03-30,153,2303,155
454,2022-03-31,36,281,117
455,2022-04-01,44,1824,154
456,2022-04-02,120,4580,180
457,2022-04-03,38,916,165
458,2022-04-04,111,322,119
459,2022-04-05,36,3241,114
460,2022-04-06,45,2348,99
461,2022-04-07,25,681,119
462,2022-04-08,97,4636,124
463,2022-04-09,103,4523,191
464,2022-04-10,28,3627,39
465,2022-04-11,54,4030,67
466,2022-04-12,45,1743,99
467,2022-04-13,26,1286,75
468,2022-04-14,57,945,114
469,2022-04-15,31,1599,156
470,2022-04-16,30,3316,38
471,2022-04-17,150,191,178
472,2022-04-18,22,4889,141
473,2022-04-19,23,2261,33
474,2022-04-20,58,1483,62
475,2022-04-21,82,2368,141
476,2022-04-22,28,3623,188
477,2022-04-23,44,1850,48
478,2022-04-24,74,2159,128
479,2022-04-25,62,1234,130
480,2022-04-26,43,2739,66
481,2022-04-27,172,4272,185
482,2022-04-28,22,4004,33
483,2022-04-29,104,3031,118
484,2022-04-30,23,2739,53
485,2022-05-01,50,360,56
486,2022-05-02,29,4539,32
487,2022-05-03,147,702,191
488,2022-05-04,21,4739,31
489,2022-05-05,21,1449,123
490,2022-05-06,163,3259,186
491,2022-05-07,28,3968,30
492,2022-05-08,52,4884,65
493,2022-05-09,88,2382,127
494,2022-05-10,82,3075,127
495,2022-05-11,135,2935,183
496,2022-05-12,92,3301,163
497,2022-05-13,22,2855,29
498,2022-05-14,176,225,192
499,2022-05-15,111,848,190
500,2022-05-16,67,229,138
501,2022-05-17,30,3227,163
502,2022-05-18,96,2757,195
503,2022-05-19,58,1194,142
504,2022-05-20,71,2189,98
505,2022-05-21,55,4035,117
506,2022-05-22,92,2343,140
507,2022-05-23,68,2171,194
508,2022-05-24,46,1189,47
509,2022-05-25,64,4115,85
510,2022-05-26,84,1262,85
511,2022-05-27,117,2438,156
512,2022-05-28,31,4882,194
513,2022-05-29,99,3378,137
514,2022-05-30,45,1536,57
515,2022-05-31,25,4632,157
516,2022-06-01,48,3529,170
517,2022-06-02,113,1677,114
518,2022-06-03,40,4013,121
519,2022-06-04,96,1026,132
520,2022-06-05,33,469,96
521,2022-06-06,25,3372,158
522,2022-06-07,56,1016,135
523,2022-06-08,62,2385,173
524,2022-06-09,30,4311,98
525,2022-06-10,103,4037,139
526,2022-06-11,21,125,23
527,2022-06-12,65,3504,116
528,2022-06-13,73,2690,156
529,2022-06-14,88,1537,102
530,2022-06-15,31,1117,34
531,2022-06-16,88,4550,115
532,2022-06-17,22,903,34
533,2022-06-18,22,819,59
534,2022-06-19,53,2146,167
535,2022-06-20,37,329,40
536,2022-06-21,62,1179,85
537,2022-06-22,52,4819,128
538,2022-06-23,26,2154,26
539,2022-06-24,26,4369,31
540,2022-06-25,24,1459,44
541,2022-06-26,55,737,165
542,2022-06-27,142,4748,151
543,2022-06-28,20,2419,21
544,2022-06-29,136,2706,198
545,2022-06-30,66,2013,137
546,2022-07-01,46,4861,73
547,2022-07-02,20,338,20
548,2022-07-03,75,4224,86
549,2022-07-04,45,524,51
550,2022-07-05,56,1172,148
551,2022-07-06,140,4333,197
552,2022-07-07,21,814,157
553,2022-07-08,30,865,41
554,2022-07-09,21,811,35
555,2022-07-10,30,2102,35
556,2022-07-11,20,1862,22
557,2022-07-12,84,1422,190
558,2022-07-13,92,1784,144
559,2022-07-14,79,3747,109
560,2022-07-15,106,1890,137
561,2022-07-16,55,2481,94
562,2022-07-17,20,1218,22
563,2022-07-18,70,598,183
564,2022-07-19,54,3686,71
565,2022-07-20,71,3470,77
566,2022-07-21,170,1097,191
567,2022-07-22,47,2793,123
568,2022-07-23,30,1965,31
569,2022-07-24,20,4885,21
570,2022-07-25,54,4841,82
571,2022-07-26,21,849,23
572,2022-07-27,135,4794,140
573,2022-07-28,75,2198,94
574,2022-07-29,142,4148,181
575,2022-07-30,152,536,168
576,2022-07-31,22,1516,28
577,2022-08-01,101,2595,131
578,2022-08-02,85,1655,156
579,2022-08-03,26,2495,36
580,2022-08-04,61,3442,187
581,2022-08-05,120,2261,140
582,2022-08-06,26,2681,164
583,2022-08-07,25,609,173
584,2022-08-08,28,3848,186
585,2022-08-09,21,2815,66
586,2022-08-10,60,2564,177
587,2022-08-11,125,1138,135
588,2022-08-12,184,2402,194
589,2022-08-13,107,4380,148
590,2022-08-14,40,1937,41
591,2022-08-15,88,3214,163
592,2022-08-16,46,567,101
593,2022-08-17,51,233,87
594,2022-08-18,20,4593,22
595,2022-08-19,22,4789,134
596,2022-08-20,71,3968,89
597,2022-08-21,28,1967,56
598,2022-08-22,37,2506,168
599,2022-08-23,55,3687,135
600,2022-08-24,109,2682,154
601,2022-08-25,131,4073,140
602,2022-08-26,50,2149,123
603,2022-08-27,132,4831,185
604,2022-08-28,27,2505,137
605,2022-08-29,32,2326,77
606,2022-08-30,93,1172,143
607,2022-08-31,42,2833,116
608,2022-09-01,46,3026,91
609,2022-09-02,151,3109,196
610,2022-09-03,22,3029,41
611,2022-09-04,86,138,126
612,2022-09-05,53,996,93
613,2022-09-06,84,4812,111
614,2022-09-07,100,3886,132
615,2022-09-08,114,1612,122
616,2022-09-09,22,2230,26
617,2022-09-10,75,1403,102
618,2022-09-11,113,4303,135
619,2022-09-12,91,589,181
620,2022-09-13,20,602,40
621,2022-09-14,34,1992,154
622,2022-09-15,21,2776,37
623,2022-09-16,20,1471,164
624,2022-09-17,140,3639,165
625,2022-09-18,20,4275,69
626,2022-09-19,57,575,191
627,2022-09-20,83,2956,120
628,2022-09-21,23,4464,131
629,2022-09-22,83,1171,135
630,2022-09-23,62,1847,87
631,2022-09-24,55,1955,62
632,2022-09-25,27,1562,35
633,2022-09-26,31,67,37
634,2022-09-27,45,4614,60
635,2022-09-28,86,3909,124
636,2022-09-29,121,3501,194
637,2022-09-30,95,4097,154
638,2022-10-01,23,2185,35
639,2022-10-02,69,3259,80
640,2022-10-03,99,2909,175
641,2022-10-04,49,2586,65
642,2022-10-05,32,1911,58
643,2022-10-06,43,2364,121
644,2022-10-07,42,4149,60
645,2022-10-08,26,2578,40
646,2022-10-09,111,2160,172
647,2022-10-10,68,3605,140
648,2022-10-11,64,783,105
649,2022-10-12,33,3232,157
650,2022-10-13,117,1768,140
651,2022-10-14,56,4721,109
652,2022-10-15,82,1591,91
653,2022-10-16,81,185,151
654,2022-10-17,22,1771,49
655,2022-10-18,62,967,126
656,2022-10-19,22,196,36
657,2022-10-20,111,2743,200
658,2022-10-21,159,4388,191
659,2022-10-22,51,4299,87
660,2022-10-23,105,3502,168
661,2022-10-24,125,4450,159
662,2022-10-25,56,3810,159
663,2022-10-26,47,713,155
664,2022-10-27,87,3226,177
665,2022-10-28,92,4793,126
666,2022-10-29,21,2351,37
667,2022-10-30,79,209,103
668,2022-10-31,22,784,69
669,2022-11-01,73,986,96
670,2022-11-02,41,4122,54
671,2022-11-03,22,3179,25
672,2022-11-04,119,1256,182
673,2022-11-05,34,394,45
674,2022-11-06,20,4844,23
675,2022-11-07,94,1120,102
676,2022-11-08,43,4124,159
677,2022-11-09,96,2906,126
678,2022-11-10,33,2715,67
679,2022-11-11,21,1947,75
680,2022-11-12,45,1962,52
681,2022-11-13,23,3641,44
682,2022-11-14,77,2384,88
683,2022-11-15,22,896,56
684,2022-11-16,64,3002,151
685,2022-11-17,103,4648,190
686,2022-11-18,153,4415,197
687,2022-11-19,32,3169,185
688,2022-11-20,131,3697,153
689,2022-11-21,23,1362,24
690,2022-11-22,36,1311,55
691,2022-11-23,30,2892,69
692,2022-11-24,71,1031,193
693,2022-11-25,39,2644,196
694,2022-11-26,46,2294,102
695,2022-11-27,40,2741,137
696,2022-11-28,50,2422,77
697,2022-11-29,118,2673,193
698,2022-11-30,23,407,51
699,2022-12-01,46,4669,91
700,2022-12-02,56,2384,173
701,2022-12-03,95,677,126
702,2022-12-04,184,809,199
703,2022-12-05,62,4956,122
704,2022-12-06,124,2561,188
705,2022-12-07,164,4561,173
706,2022-12-08,41,3777,53
707,2022-12-09,23,3284,195
708,2022-12-10,120,465,141
709,2022-12-11,102,2489,106
710,2022-12-12,63,1975,103
711,2022-12-13,23,834,45
712,2022-12-14,62,4978,131
713,2022-12-15,74,389,157
714,2022-12-16,80,1405,164
715,2022-12-17,114,4382,196
716,2022-12-18,28,1136,159
717,2022-12-19,45,4670,121
718,2022-12-20,141,2203,143
719,2022-12-21,89,3144,144
720,2022-12-22,24,1985,42
721,2022-12-23,30,1065,30
722,2022-12-24,61,1315,148
723,2022-12-25,101,3254,134
724,2022-12-26,79,3563,84
725,2022-12-27,50,2485,181
726,2022-12-28,175,2898,179
727,2022-12-29,23,4912,100
728,2022-12-30,157,3988,182
729,2022-12-31,52,1511,110
730,2023-01-01,29,3292,36
