,date,minimum,maximum,average
85,2021-03-27,21,3826,187
86,2021-03-28,28,1304,136
87,2021-03-29,131,2447,134
88,2021-03-30,118,1612,138
89,2021-03-31,21,3303,91
90,2021-04-01,54,681,85
91,2021-04-02,78,145,81
92,2021-04-03,40,1280,47
93,2021-04-04,77,305,89
94,2021-04-05,51,4447,120
95,2021-04-06,48,4473,184
96,2021-04-07,131,3409,184
97,2021-04-08,20,1286,34
98,2021-04-09,61,907,72
99,2021-04-10,75,2184,135
100,2021-04-11,66,322,105
101,2021-04-12,37,231,42
102,2021-04-13,57,2769,133
103,2021-04-14,86,638,130
104,2021-04-15,59,2008,81
105,2021-04-16,74,4665,101
106,2021-04-17,48,1697,117
107,2021-04-18,71,839,162
108,2021-04-19,33,3337,170
109,2021-04-20,20,4754,24
110,2021-04-21,40,3043,50
111,2021-04-22,145,1528,145
112,2021-04-23,118,3981,128
113,2021-04-24,47,2749,75
114,2021-04-25,116,3842,128
115,2021-04-26,39,109,59
116,2021-04-27,45,1558,54
117,2021-04-28,33,3444,163
118,2021-04-29,125,1550,153
119,2021-04-30,43,1800,50
120,2021-05-01,92,4273,115
121,2021-05-02,50,1765,191
122,2021-05-03,25,645,112
123,2021-05-04,21,691,22
124,2021-05-05,112,4553,173
125,2021-05-06,85,2339,87
126,2021-05-07,55,3154,173
127,2021-05-08,22,1570,50
128,2021-05-09,89,1231,101
129,2021-05-10,33,1655,33
130,2021-05-11,140,3710,144
131,2021-05-12,26,431,64
132,2021-05-13,42,3763,47
133,2021-05-14,57,2061,198
134,2021-05-15,119,3372,122
135,2021-05-16,45,4490,89
136,2021-05-17,118,1322,165
137,2021-05-18,27,1198,47
138,2021-05-19,120,3404,163
139,2021-05-20,44,1209,98
140,2021-05-21,126,1758,145
141,2021-05-22,41,4807,122
142,2021-05-23,22,4495,41
143,2021-05-24,25,2024,25
144,2021-05-25,22,4491,88
145,2021-05-26,110,4070,154
146,2021-05-27,47,1340,74
147,2021-05-28,33,4502,74
148,2021-05-29,26,2684,26
149,2021-05-30,35,3026,119
150,2021-05-31,26,1445,46
151,2021-06-01,85,1735,193
152,2021-06-02,22,2923,22
153,2021-06-03,30,2990,48
154,2021-06-04,69,1377,110
155,2021-06-05,118,2688,136
156,2021-06-06,56,4802,73
157,2021-06-07,104,396,198
158,2021-06-08,97,3247,177
159,2021-06-09,26,2851,31
160,2021-06-10,79,4760,130
161,2021-06-11,89,3270,104
162,2021-06-12,56,832,112
163,2021-06-13,58,3507,180
164,2021-06-14,27,136,54
165,2021-06-15,35,4890,35
166,2021-06-16,49,374,106
167,2021-06-17,38,1782,88
168,2021-06-18,117,2726,130
169,2021-06-19,75,4480,181
170,2021-06-20,156,379,175
171,2021-06-21,79,1339,180
172,2021-06-22,101,2189,114
173,2021-06-23,137,2083,172
174,2021-06-24,48,3071,200
175,2021-06-25,64,3035,99
176,2021-06-26,83,1025,91
177,2021-06-27,102,2313,169
178,2021-06-28,80,1477,121
179,2021-06-29,52,2023,69
180,2021-06-30,112,3945,115
181,2021-07-01,48,496,73
182,2021-07-02,98,1432,106
183,2021-07-03,20,2554,191
184,2021-07-04,155,1309,197
185,2021-07-05,26,3244,60
186,2021-07-06,40,2757,67
187,2021-07-07,124,3577,161
188,2021-07-08,90,3514,116
189,2021-07-09,95,154,108
190,2021-07-10,56,1597,139
191,2021-07-11,28,1145,33
192,2021-07-12,140,2251,172
193,2021-07-13,55,2664,61
194,2021-07-14,32,4100,64
195,2021-07-15,29,1918,186
196,2021-07-16,53,4078,87
197,2021-07-17,97,3093,136
198,2021-07-18,47,2994,85
199,2021-07-19,83,4431,95
200,2021-07-20,125,1137,126
201,2021-07-21,114,2096,149
202,2021-07-22,133,3088,167
203,2021-07-23,182,1931,196
204,2021-07-24,178,4817,187
205,2021-07-25,44,334,143
206,2021-07-26,193,1294,200
207,2021-07-27,108,3542,178
208,2021-07-28,22,2140,35
209,2021-07-29,65,2622,141
210,2021-07-30,78,473,192
211,2021-07-31,33,682,99
212,2021-08-01,31,1314,56
213,2021-08-02,92,4859,149
214,2021-08-03,45,2433,69
215,2021-08-04,21,4296,68
216,2021-08-05,56,1187,179
217,2021-08-06,85,4118,150
218,2021-08-07,84,1955,119
219,2021-08-08,29,1181,49
220,2021-08-09,59,2381,165
221,2021-08-10,158,371,197
222,2021-08-11,95,3014,161
223,2021-08-12,124,4570,198
224,2021-08-13,44,2520,96
225,2021-08-14,55,4720,56
226,2021-08-15,97,4389,109
227,2021-08-16,99,4840,139
228,2021-08-17,37,964,53
229,2021-08-18,24,228,83
230,2021-08-19,31,884,31
231,2021-08-20,47,4630,198
232,2021-08-21,46,3808,177
233,2021-08-22,85,1658,133
234,2021-08-23,38,4335,190
235,2021-08-24,31,3808,54
236,2021-08-25,46,1852,80
237,2021-08-26,37,396,79
238,2021-08-27,26,1043,153
239,2021-08-28,38,2648,110
240,2021-08-29,26,1439,141
241,2021-08-30,149,239,159
242,2021-08-31,41,584,50
243,2021-09-01,62,146,135
244,2021-09-02,122,2663,199
245,2021-09-03,22,335,136
246,2021-09-04,48,492,135
247,2021-09-05,21,1507,21
248,2021-09-06,46,4826,93
249,2021-09-07,28,791,144
250,2021-09-08,72,4552,94
251,2021-09-09,25,1067,40
252,2021-09-10,142,3784,180
253,2021-09-11,43,3468,172
254,2021-09-12,21,549,107
255,2021-09-13,152,4382,154
256,2021-09-14,51,3683,103
257,2021-09-15,64,2938,194
258,2021-09-16,24,1790,134
259,2021-09-17,29,4696,40
260,2021-09-18,97,3094,200
261,2021-09-19,87,3611,144
262,2021-09-20,70,3659,195
263,2021-09-21,30,160,58
264,2021-09-22,144,4141,200
265,2021-09-23,47,4174,87
266,2021-09-24,68,4504,197
267,2021-09-25,29,3142,42
268,2021-09-26,25,4462,123
269,2021-09-27,102,2319,173
270,2021-09-28,43,3795,142
271,2021-09-29,89,3259,173
272,2021-09-30,76,3496,150
273,2021-10-01,46,3456,60
274,2021-10-02,21,2152,61
275,2021-10-03,86,4523,92
276,2021-10-04,44,3697,186
277,2021-10-05,133,4489,150
278,2021-10-06,103,4815,127
279,2021-10-07,20,4076,20
280,2021-10-08,117,3034,185
281,2021-10-09,24,3861,31
282,2021-10-10,34,546,115
283,2021-10-11,37,4924,150
284,2021-10-12,122,4097,147
285,2021-10-13,64,3363,79
286,2021-10-14,24,3672,40
287,2021-10-15,20,2048,20
288,2021-10-16,38,3445,71
289,2021-10-17,51,1021,72
290,2021-10-18,84,4099,125
291,2021-10-19,157,460,185
292,2021-10-20,33,3848,41
293,2021-10-21,40,579,157
294,2021-10-22,150,3768,189
295,2021-10-23,70,3901,150
296,2021-10-24,20,1822,99
297,2021-10-25,159,886,165
298,2021-10-26,158,742,158
299,2021-10-27,80,3706,87
300,2021-10-28,151,4252,160
301,2021-10-29,21,2823,140
302,2021-10-30,91,2712,166
303,2021-10-31,57,1106,181
304,2021-11-01,161,4633,169
305,2021-11-02,38,4822,130
306,2021-11-03,106,299,158
307,2021-11-04,155,1048,186
308,2021-11-05,28,3206,53
309,2021-11-06,23,2693,34
310,2021-11-07,108,4038,118
311,2021-11-08,82,3362,156
312,2021-11-09,96,1977,199
313,2021-11-10,118,3932,155
314,2021-11-11,69,1345,86
315,2021-11-12,86,4277,145
316,2021-11-13,82,2409,120
317,2021-11-14,122,818,129
318,2021-11-15,50,4610,157
319,2021-11-16,32,3365,60
320,2021-11-17,65,3300,103
321,2021-11-18,69,3483,76
322,2021-11-19,111,3825,180
323,2021-11-20,91,1619,198
324,2021-11-21,55,2900,170
325,2021-11-22,60,2216,67
326,2021-11-23,65,2592,77
327,2021-11-24,120,3719,188
328,2021-11-25,22,4222,91
329,2021-11-26,39,2248,71
330,2021-11-27,92,311,192
331,2021-11-28,54,1053,56
332,2021-11-29,125,1750,189
333,2021-11-30,21,1021,143
334,2021-12-01,20,2957,21
335,2021-12-02,88,862,88
336,2021-12-03,82,325,103
337,2021-12-04,59,2622,159
338,2021-12-05,27,4717,145
339,2021-12-06,175,3949,194
340,2021-12-07,22,1567,66
341,2021-12-08,22,4311,27
342,2021-12-09,40,3092,65
343,2021-12-10,26,3632,42
344,2021-12-11,24,817,40
345,2021-12-12,107,4278,168
346,2021-12-13,95,1544,175
347,2021-12-14,112,4669,152
348,2021-12-15,21,1149,24
349,2021-12-16,36,659,103
350,2021-12-17,136,462,167
351,2021-12-18,99,3357,122
352,2021-12-19,120,1332,140
353,2021-12-20,47,1032,109
354,2021-12-21,59,1777,154
355,2021-12-22,107,1914,112
356,2021-12-23,31,1960,58
357,2021-12-24,21,3122,70
358,2021-12-25,103,267,119
359,2021-12-26,93,2407,176
360,2021-12-27,30,4951,85
361,2021-12-28,94,4856,131
362,2021-12-29,33,4638,109
363,2021-12-30,25,1099,27
364,2021-12-31,73,2320,144
365,2022-01-01,84,712,159
366,2022-01-02,30,1293,134
367,2022-01-03,112,2010,133
368,2022-01-04,24,1478,32
369,2022-01-05,137,3322,149
370,2022-01-06,182,3911,185
371,2022-01-07,69,3844,93
372,2022-01-08,59,996,197
373,2022-01-09,140,3831,187
374,2022-01-10,105,1133,115
375,2022-01-11,68,278,69
376,2022-01-12,41,1221,94
377,2022-01-13,45,1977,103
378,2022-01-14,38,3501,47
379,2022-01-15,95,4712,114
380,2022-01-16,63,2774,100
381,2022-01-17,34,2229,108
382,2022-01-18,100,4345,113
383,2022-01-19,26,1188,56
384,2022-01-20,97,2177,129
385,2022-01-21,41,4285,92
386,2022-01-22,22,3829,30
387,2022-01-23,45,1896,105
388,2022-01-24,140,554,190
389,2022-01-25,28,4909,46
390,2022-01-26,45,3155,127
391,2022-01-27,74,2052,142
392,2022-01-28,175,2059,195
393,2022-01-29,31,4090,44
394,2022-01-30,96,2939,158
395,2022-01-31,69,2292,182
396,2022-02-01,146,1919,176
397,2022-02-02,147,1308,154
398,2022-02-03,47,393,105
399,2022-02-04,158,2822,188
400,2022-02-05,82,1224,153
401,2022-02-06,34,1774,164
402,2022-02-07,42,2716,142
403,2022-02-08,37,2057,89
404,2022-02-09,162,406,189
405,2022-02-10,69,314,146
406,2022-02-11,112,3108,114
407,2022-02-12,61,2076,86
408,2022-02-13,64,2265,83
409,2022-02-14,24,371,107
410,2022-02-15,29,610,69
411,2022-02-16,87,2983,128
412,2022-02-17,68,4371,190
413,2022-02-18,95,1231,137
414,2022-02-19,47,4680,51
415,2022-02-20,67,686,136
416,2022-02-21,29,3557,31
417,2022-02-22,184,2624,197
418,2022-02-23,52,3776,199
419,2022-02-24,39,2792,71
420,2022-02-25,64,4536,135
421,2022-02-26,50,2810,57
422,2022-02-27,147,4675,197
423,2022-02-28,91,218,131
424,2022-03-01,22,2057,22
425,2022-03-02,29,1562,50
426,2022-03-03,23,425,23
427,2022-03-04,40,1822,77
428,2022-03-05,21,2612,22
429,2022-03-06,31,1241,125
430,2022-03-07,127,2858,139
431,2022-03-08,42,3225,104
432,2022-03-09,35,3433,164
433,2022-03-10,194,2059,194
434,2022-03-11,52,3246,59
435,2022-03-12,39,3951,44
436,2022-03-13,37,982,57
437,2022-03-14,22,1828,28
438,2022-03-15,23,2744,160
439,2022-03-16,69,4441,94
440,2022-03-17,26,4895,35
441,2022-03-18,121,2601,189
442,2022-03-19,27,542,134
443,2022-03-20,65,4632,95
444,2022-03-21,76,4532,137
445,2022-03-22,174,3647,196
446,2022-03-23,46,3083,77
447,2022-03-24,34,3450,111
448,2022-03-25,23,2219,31
449,2022-03-26,71,3960,197
450,2022-03-27,139,298,157
451,2022-03-28,55,917,79
452,2022-03-29,40,1854,61
453,2022-03-30,38,2689,186
454,2022-03-31,57,997,150
455,2022-04-01,33,3936,33
456,2022-04-02,56,4826,128
457,2022-04-03,99,2862,126
458,2022-04-04,34,3836,186
459,2022-04-05,109,4956,122
460,2022-04-06,51,3752,98
461,2022-04-07,29,181,160
462,2022-04-08,53,892,179
463,2022-04-09,96,2680,198
464,2022-04-10,63,3716,97
465,2022-04-11,77,2829,119
466,2022-04-12,73,963,85
467,2022-04-13,72,3470,82
468,2022-04-14,38,2319,109
469,2022-04-15,45,535,93
470,2022-04-16,109,817,170
471,2022-04-17,124,2908,178
472,2022-04-18,55,2401,188
473,2022-04-19,26,341,43
474,2022-04-20,66,307,127
475,2022-04-21,31,4885,31
476,2022-04-22,76,3804,184
477,2022-04-23,108,451,198
478,2022-04-24,80,206,171
479,2022-04-25,48,1673,90
480,2022-04-26,53,1568,141
481,2022-04-27,122,4416,196
482,2022-04-28,66,1003,114
483,2022-04-29,129,3198,178
484,2022-04-30,43,1468,199
485,2022-05-01,81,3607,81
486,2022-05-02,59,1123,112
487,2022-05-03,67,3721,101
488,2022-05-04,110,2260,167
489,2022-05-05,39,3155,41
490,2022-05-06,96,3711,110
491,2022-05-07,106,4143,110
492,2022-05-08,119,4162,152
493,2022-05-09,60,504,79
494,2022-05-10,33,241,39
495,2022-05-11,93,865,104
496,2022-05-12,99,2769,198
497,2022-05-13,65,3593,134
498,2022-05-14,20,1261,28
499,2022-05-15,37,3814,42
500,2022-05-16,56,209,170
501,2022-05-17,113,3181,147
502,2022-05-18,180,3357,193
503,2022-05-19,88,3025,160
504,2022-05-20,36,396,147
505,2022-05-21,180,4887,195
506,2022-05-22,51,963,79
507,2022-05-23,96,4591,197
508,2022-05-24,170,4014,190
509,2022-05-25,29,1858,85
510,2022-05-26,29,1190,82
511,2022-05-27,71,693,181
512,2022-05-28,68,2144,191
513,2022-05-29,108,4600,157
514,2022-05-30,61,4854,136
515,2022-05-31,22,94,23
516,2022-06-01,81,4549,99
517,2022-06-02,52,4556,83
518,2022-06-03,23,3906,26
519,2022-06-04,92,3158,181
520,2022-06-05,29,635,177
521,2022-06-06,57,289,172
522,2022-06-07,50,3755,165
523,2022-06-08,87,1336,113
524,2022-06-09,105,940,181
525,2022-06-10,26,1155,83
526,2022-06-11,23,4334,140
527,2022-06-12,93,428,121
528,2022-06-13,102,4220,198
529,2022-06-14,107,3844,152
530,2022-06-15,25,4308,110
531,2022-06-16,149,2845,159
532,2022-06-17,64,4640,180
533,2022-06-18,77,2763,148
534,2022-06-19,107,761,162
535,2022-06-20,75,1893,186
536,2022-06-21,115,2445,120
537,2022-06-22,52,3314,138
538,2022-06-23,86,4766,124
539,2022-06-24,63,329,139
540,2022-06-25,100,921,123
541,2022-06-26,112,4901,154
542,2022-06-27,21,417,28
543,2022-06-28,107,3028,156
544,2022-06-29,149,997,189
545,2022-06-30,25,4446,31
546,2022-07-01,105,348,127
547,2022-07-02,38,353,80
548,2022-07-03,28,2508,39
549,2022-07-04,155,1182,159
550,2022-07-05,105,2065,106
551,2022-07-06,32,4113,49
552,2022-07-07,31,3403,114
553,2022-07-08,80,450,129
554,2022-07-09,56,550,62
555,2022-07-10,129,1915,180
556,2022-07-11,78,1579,136
557,2022-07-12,46,2963,172
558,2022-07-13,99,4291,112
559,2022-07-14,91,3233,145
560,2022-07-15,41,3011,49
561,2022-07-16,33,2320,104
562,2022-07-17,44,2445,77
563,2022-07-18,50,2718,61
564,2022-07-19,63,2058,185
565,2022-07-20,98,2547,120
566,2022-07-21,126,2297,183
567,2022-07-22,52,334,162
568,2022-07-23,63,2924,133
569,2022-07-24,22,2175,42
570,2022-07-25,146,1164,174
571,2022-07-26,160,4982,172
572,2022-07-27,20,4038,181
573,2022-07-28,69,992,96
574,2022-07-29,40,4598,80
575,2022-07-30,87,415,132
576,2022-07-31,58,4487,180
577,2022-08-01,122,4380,163
578,2022-08-02,75,3745,132
579,2022-08-03,28,4131,32
580,2022-08-04,117,1389,166
581,2022-08-05,21,4204,30
582,2022-08-06,27,3539,49
583,2022-08-07,67,2408,114
584,2022-08-08,40,4912,55
585,2022-08-09,72,847,161
586,2022-08-10,93,3415,100
587,2022-08-11,97,415,192
588,2022-08-12,61,3796,63
589,2022-08-13,39,1345,126
590,2022-08-14,103,1377,157
591,2022-08-15,55,4133,100
592,2022-08-16,121,4388,191
593,2022-08-17,30,2029,37
594,2022-08-18,97,3052,122
595,2022-08-19,32,1915,33
596,2022-08-20,80,3270,128
597,2022-08-21,51,815,82
598,2022-08-22,23,3100,35
599,2022-08-23,135,1059,184
600,2022-08-24,94,2488,132
601,2022-08-25,39,2368,48
602,2022-08-26,31,4321,100
603,2022-08-27,42,4470,109
604,2022-08-28,80,3909,151
605,2022-08-29,75,4385,76
606,2022-08-30,25,3500,145
607,2022-08-31,92,2451,181
608,2022-09-01,140,1286,143
609,2022-09-02,46,4517,181
610,2022-09-03,33,1588,98
611,2022-09-04,47,1938,58
612,2022-09-05,32,4195,43
613,2022-09-06,59,2622,61
614,2022-09-07,60,3209,75
615,2022-09-08,109,4768,189
616,2022-09-09,26,2308,26
617,2022-09-10,146,3796,158
618,2022-09-11,88,3279,116
619,2022-09-12,73,4573,99
620,2022-09-13,162,4015,200
621,2022-09-14,143,3466,184
622,2022-09-15,117,2322,144
623,2022-09-16,29,4920,163
624,2022-09-17,24,3102,54
625,2022-09-18,127,4753,154
626,2022-09-19,32,4306,103
627,2022-09-20,95,2533,127
628,2022-09-21,38,327,61
629,2022-09-22,55,4471,69
630,2022-09-23,57,2113,125
631,2022-09-24,31,3273,44
632,2022-09-25,67,2892,89
633,2022-09-26,48,3912,195
634,2022-09-27,31,1273,135
635,2022-09-28,38,4334,139
636,2022-09-29,28,3168,31
637,2022-09-30,127,2412,154
638,2022-10-01,99,285,198
639,2022-10-02,67,4070,194
640,2022-10-03,38,717,144
641,2022-10-04,59,4987,121
642,2022-10-05,30,1029,146
643,2022-10-06,22,3046,28
644,2022-10-07,36,280,124
645,2022-10-08,31,604,83
646,2022-10-09,84,1550,134
647,2022-10-10,43,3802,56
648,2022-10-11,94,2089,117
649,2022-10-12,64,1656,147
650,2022-10-13,50,4358,178
651,2022-10-14,41,1169,63
652,2022-10-15,47,3723,57
653,2022-10-16,98,2143,138
654,2022-10-17,22,868,62
655,2022-10-18,77,387,114
656,2022-10-19,29,1342,88
657,2022-10-20,80,3297,179
658,2022-10-21,51,1354,178
659,2022-10-22,57,1488,71
660,2022-10-23,65,4449,165
661,2022-10-24,26,2879,26
662,2022-10-25,26,1049,80
663,2022-10-26,46,4875,96
664,2022-10-27,50,2707,51
665,2022-10-28,77,2135,149
666,2022-10-29,59,1819,191
667,2022-10-30,65,3531,159
668,2022-10-31,108,4876,116
669,2022-11-01,56,2516,146
670,2022-11-02,76,3546,80
671,2022-11-03,37,1333,44
672,2022-11-04,53,739,122
673,2022-11-05,125,747,180
674,2022-11-06,57,4720,102
675,2022-11-07,20,1359,145
676,2022-11-08,67,4835,88
677,2022-11-09,32,2587,135
678,2022-11-10,46,4113,91
679,2022-11-11,23,4072,102
680,2022-11-12,25,2223,42
681,2022-11-13,62,2031,158
682,2022-11-14,24,2321,47
683,2022-11-15,47,3524,65
684,2022-11-16,74,4313,149
685,2022-11-17,162,4125,163
686,2022-11-18,28,253,79
687,2022-11-19,37,1180,43
688,2022-11-20,150,2941,154
689,2022-11-21,65,3958,171
690,2022-11-22,27,1240,188
691,2022-11-23,140,4154,170
692,2022-11-24,143,2138,147
693,2022-11-25,25,2791,87
694,2022-11-26,27,1183,105
695,2022-11-27,151,4053,164
696,2022-11-28,76,3927,90
697,2022-11-29,38,1855,69
698,2022-11-30,40,2111,100
699,2022-12-01,48,3341,84
700,2022-12-02,24,4869,157
701,2022-12-03,107,1641,157
702,2022-12-04,25,4926,66
703,2022-12-05,132,1582,132
704,2022-12-06,137,946,159
705,2022-12-07,157,3937,168
706,2022-12-08,83,1137,170
707,2022-12-09,107,4648,144
708,2022-12-10,68,2796,84
709,2022-12-11,145,249,145
710,2022-12-12,112,417,149
711,2022-12-13,32,1329,42
712,2022-12-14,38,2179,186
713,2022-12-15,55,2872,117
714,2022-12-16,136,2424,186
715,2022-12-17,59,3852,179
716,2022-12-18,62,2290,71
717,2022-12-19,88,4627,183
718,2022-12-20,100,458,138
719,2022-12-21,48,4703,173
720,2022-12-22,154,4171,160
721,2022-12-23,131,3867,168
722,2022-12-24,26,113,29
723,2022-12-25,118,3631,142
724,2022-12-26,31,2877,98
725,2022-12-27,47,3455,55
726,2022-12-28,22,3532,107
727,2022-12-29,79,3617,187
728,2022-12-30,28,4589,65
729,2022-12-31,138,1153,174
730,2023-01-01,127,2288,189
