,date,minimum,maximum,average
99,2021-04-10,23,2841,24
100,2021-04-11,20,4993,114
101,2021-04-12,141,2232,154
102,2021-04-13,86,3656,164
103,2021-04-14,77,4585,119
104,2021-04-15,81,626,121
105,2021-04-16,126,4338,170
106,2021-04-17,70,4549,106
107,2021-04-18,32,160,64
108,2021-04-19,84,3794,118
109,2021-04-20,56,1775,91
110,2021-04-21,84,4105,134
111,2021-04-22,57,2443,86
112,2021-04-23,21,3525,28
113,2021-04-24,64,361,80
114,2021-04-25,50,756,126
115,2021-04-26,138,4427,169
116,2021-04-27,91,856,194
117,2021-04-28,80,744,96
118,2021-04-29,93,2054,111
119,2021-04-30,59,835,61
120,2021-05-01,33,3400,34
121,2021-05-02,21,1724,82
122,2021-05-03,121,1072,148
123,2021-05-04,176,4284,180
124,2021-05-05,22,1755,61
125,2021-05-06,71,335,140
126,2021-05-07,63,3129,193
127,2021-05-08,66,1384,88
128,2021-05-09,21,2174,28
129,2021-05-10,149,4225,153
130,2021-05-11,24,1609,74
131,2021-05-12,45,2300,84
132,2021-05-13,20,3171,35
133,2021-05-14,40,1687,69
134,2021-05-15,77,3232,190
135,2021-05-16,32,1337,171
136,2021-05-17,20,1720,61
137,2021-05-18,140,4090,156
138,2021-05-19,50,4192,74
139,2021-05-20,41,4518,150
140,2021-05-21,113,4084,172
141,2021-05-22,144,3807,193
142,2021-05-23,83,3445,169
143,2021-05-24,67,4082,133
144,2021-05-25,105,4445,161
145,2021-05-26,20,220,22
146,2021-05-27,160,1134,178
147,2021-05-28,128,1849,134
148,2021-05-29,104,294,121
149,2021-05-30,25,3706,28
150,2021-05-31,54,4654,98
151,2021-06-01,21,2022,24
152,2021-06-02,22,4923,22
153,2021-06-03,104,4048,126
154,2021-06-04,36,1345,118
155,2021-06-05,41,225,52
156,2021-06-06,88,3711,163
157,2021-06-07,37,3507,43
158,2021-06-08,57,3866,71
159,2021-06-09,56,3964,157
160,2021-06-10,22,3965,46
161,2021-06-11,29,4550,29
162,2021-06-12,52,1732,74
163,2021-06-13,69,2372,107
164,2021-06-14,23,1588,42
165,2021-06-15,79,1089,162
166,2021-06-16,50,4168,81
167,2021-06-17,32,2430,86
168,2021-06-18,88,216,88
169,2021-06-19,21,4864,36
170,2021-06-20,54,4474,68
171,2021-06-21,32,2757,139
172,2021-06-22,38,4263,41
173,2021-06-23,35,4182,153
174,2021-06-24,148,3408,193
175,2021-06-25,101,1479,116
176,2021-06-26,61,2668,139
177,2021-06-27,39,3863,83
178,2021-06-28,29,1734,116
179,2021-06-29,59,2910,68
180,2021-06-30,51,1782,84
181,2021-07-01,25,1204,66
182,2021-07-02,32,4268,121
183,2021-07-03,76,2272,98
184,2021-07-04,82,2713,92
185,2021-07-05,59,2332,62
186,2021-07-06,168,1135,184
187,2021-07-07,104,4869,178
188,2021-07-08,24,1732,137
189,2021-07-09,38,3052,147
190,2021-07-10,76,2243,131
191,2021-07-11,42,336,117
192,2021-07-12,46,2965,97
193,2021-07-13,22,1324,188
194,2021-07-14,23,4036,37
195,2021-07-15,24,561,33
196,2021-07-16,81,4056,143
197,2021-07-17,36,4815,75
198,2021-07-18,86,4126,120
199,2021-07-19,79,3441,98
200,2021-07-20,66,3739,169
201,2021-07-21,39,3240,140
202,2021-07-22,107,122,116
203,2021-07-23,41,4722,161
204,2021-07-24,30,4707,99
205,2021-07-25,56,4103,88
206,2021-07-26,27,2426,200
207,2021-07-27,139,3337,165
208,2021-07-28,54,1354,157
209,2021-07-29,154,4322,170
210,2021-07-30,59,3079,147
211,2021-07-31,54,1802,81
212,2021-08-01,172,319,175
213,2021-08-02,42,2212,45
214,2021-08-03,48,1948,84
215,2021-08-04,64,270,139
216,2021-08-05,45,3596,184
217,2021-08-06,95,3505,146
218,2021-08-07,56,4278,76
219,2021-08-08,23,3222,64
220,2021-08-09,40,178,43
221,2021-08-10,58,638,73
222,2021-08-11,32,869,120
223,2021-08-12,47,3114,84
224,2021-08-13,27,4399,46
225,2021-08-14,20,2573,21
226,2021-08-15,163,870,172
227,2021-08-16,22,4204,88
228,2021-08-17,20,972,43
229,2021-08-18,54,1620,74
230,2021-08-19,107,1608,157
231,2021-08-20,48,4853,186
232,2021-08-21,23,3386,28
233,2021-08-22,67,3094,161
234,2021-08-23,111,4064,115
235,2021-08-24,97,4193,103
236,2021-08-25,93,337,174
237,2021-08-26,21,819,27
238,2021-08-27,33,1761,115
239,2021-08-28,26,4761,47
240,2021-08-29,26,1689,29
241,2021-08-30,21,3575,21
242,2021-08-31,24,1565,44
243,2021-09-01,29,798,168
244,2021-09-02,130,4557,159
245,2021-09-03,85,196,88
246,2021-09-04,84,597,153
247,2021-09-05,95,3166,112
248,2021-09-06,69,2071,148
249,2021-09-07,99,1889,102
250,2021-09-08,25,3562,87
251,2021-09-09,55,4993,169
252,2021-09-10,20,2857,23
253,2021-09-11,128,1594,179
254,2021-09-12,25,751,61
255,2021-09-13,39,2090,53
256,2021-09-14,82,1089,86
257,2021-09-15,88,3595,102
258,2021-09-16,50,2520,126
259,2021-09-17,22,1325,34
260,2021-09-18,93,1182,124
261,2021-09-19,50,4077,125
262,2021-09-20,43,2091,144
263,2021-09-21,59,3228,143
264,2021-09-22,189,4844,193
265,2021-09-23,35,361,109
266,2021-09-24,32,4656,35
267,2021-09-25,38,2447,67
268,2021-09-26,52,4150,58
269,2021-09-27,41,2293,78
270,2021-09-28,40,4342,120
271,2021-09-29,102,4354,111
272,2021-09-30,182,4524,183
273,2021-10-01,133,4916,164
274,2021-10-02,79,454,90
275,2021-10-03,28,1963,128
276,2021-10-04,50,138,74
277,2021-10-05,38,3909,50
278,2021-10-06,58,3521,172
279,2021-10-07,70,3022,195
280,2021-10-08,32,4823,40
281,2021-10-09,24,4153,132
282,2021-10-10,25,2356,82
283,2021-10-11,36,768,165
284,2021-10-12,106,355,161
285,2021-10-13,65,2951,148
286,2021-10-14,82,2548,132
287,2021-10-15,20,2288,20
288,2021-10-16,132,786,161
289,2021-10-17,42,223,83
290,2021-10-18,80,1420,147
291,2021-10-19,73,2631,94
292,2021-10-20,20,506,65
293,2021-10-21,108,260,143
294,2021-10-22,105,3243,119
295,2021-10-23,23,3267,156
296,2021-10-24,140,4877,149
297,2021-10-25,72,2819,180
298,2021-10-26,52,794,96
299,2021-10-27,53,3138,80
300,2021-10-28,70,2813,120
301,2021-10-29,75,1601,112
302,2021-10-30,60,2167,177
303,2021-10-31,54,4196,59
304,2021-11-01,22,2855,64
305,2021-11-02,130,3778,176
306,2021-11-03,108,4532,132
307,2021-11-04,75,2880,92
308,2021-11-05,29,1938,171
309,2021-11-06,23,4587,23
310,2021-11-07,97,3965,128
311,2021-11-08,147,1007,184
312,2021-11-09,45,286,46
313,2021-11-10,25,4992,90
314,2021-11-11,107,963,192
315,2021-11-12,23,2724,23
316,2021-11-13,23,1260,110
317,2021-11-14,64,306,156
318,2021-11-15,72,2794,86
319,2021-11-16,80,2526,114
320,2021-11-17,53,4970,200
321,2021-11-18,49,4707,110
322,2021-11-19,123,4948,200
323,2021-11-20,49,755,124
324,2021-11-21,89,1065,193
325,2021-11-22,88,2474,107
326,2021-11-23,105,2569,196
327,2021-11-24,29,3046,168
328,2021-11-25,54,3774,72
329,2021-11-26,48,2433,64
330,2021-11-27,26,2438,31
331,2021-11-28,124,565,159
332,2021-11-29,86,1415,96
333,2021-11-30,23,2797,25
334,2021-12-01,20,90,27
335,2021-12-02,33,2068,53
336,2021-12-03,86,2693,88
337,2021-12-04,25,1439,182
338,2021-12-05,41,4410,155
339,2021-12-06,93,3918,98
340,2021-12-07,35,4195,80
341,2021-12-08,45,1886,119
342,2021-12-09,21,4434,23
343,2021-12-10,72,94,94
344,2021-12-11,22,222,30
345,2021-12-12,36,2880,164
346,2021-12-13,94,4572,95
347,2021-12-14,42,3061,199
348,2021-12-15,34,1124,182
349,2021-12-16,22,3796,192
350,2021-12-17,27,1871,27
351,2021-12-18,23,737,25
352,2021-12-19,82,3134,83
353,2021-12-20,86,1363,88
354,2021-12-21,118,2323,130
355,2021-12-22,78,3889,91
356,2021-12-23,52,2907,200
357,2021-12-24,54,3180,85
358,2021-12-25,56,4896,184
359,2021-12-26,27,184,36
360,2021-12-27,110,1953,162
361,2021-12-28,68,528,101
362,2021-12-29,100,479,148
363,2021-12-30,26,1757,26
364,2021-12-31,24,3714,95
365,2022-01-01,24,1545,50
366,2022-01-02,128,4584,171
367,2022-01-03,30,712,60
368,2022-01-04,147,4506,152
369,2022-01-05,89,4685,135
370,2022-01-06,70,4813,95
371,2022-01-07,129,3353,153
372,2022-01-08,43,920,45
373,2022-01-09,46,4697,195
374,2022-01-10,167,3944,180
375,2022-01-11,22,1692,61
376,2022-01-12,29,1239,82
377,2022-01-13,32,626,38
378,2022-01-14,20,339,20
379,2022-01-15,136,4349,150
380,2022-01-16,88,1067,132
381,2022-01-17,23,4861,103
382,2022-01-18,28,3392,142
383,2022-01-19,26,2016,41
384,2022-01-20,77,1800,153
385,2022-01-21,28,2647,34
386,2022-01-22,35,543,90
387,2022-01-23,127,3297,170
388,2022-01-24,74,1627,153
389,2022-01-25,53,2638,57
390,2022-01-26,20,3658,50
391,2022-01-27,69,4358,98
392,2022-01-28,86,4614,128
393,2022-01-29,91,3797,185
394,2022-01-30,50,3556,67
395,2022-01-31,29,2856,32
396,2022-02-01,133,4025,170
397,2022-02-02,52,1785,55
398,2022-02-03,64,764,115
399,2022-02-04,54,894,156
400,2022-02-05,46,471,59
401,2022-02-06,30,2337,91
402,2022-02-07,49,4886,115
403,2022-02-08,21,2448,44
404,2022-02-09,141,188,161
405,2022-02-10,30,855,78
406,2022-02-11,141,4959,167
407,2022-02-12,27,2638,155
408,2022-02-13,130,2527,170
409,2022-02-14,70,1587,134
410,2022-02-15,115,1930,200
411,2022-02-16,58,4435,116
412,2022-02-17,64,4746,85
413,2022-02-18,49,4691,54
414,2022-02-19,47,199,70
415,2022-02-20,23,3462,37
416,2022-02-21,94,4304,187
417,2022-02-22,126,4549,143
418,2022-02-23,127,4969,133
419,2022-02-24,32,4140,162
420,2022-02-25,26,4447,52
421,2022-02-26,75,3702,166
422,2022-02-27,62,741,80
423,2022-02-28,46,1161,71
424,2022-03-01,114,2240,175
425,2022-03-02,156,4516,193
426,2022-03-03,46,4896,125
427,2022-03-04,164,689,193
428,2022-03-05,23,1452,40
429,2022-03-06,34,1384,119
430,2022-03-07,104,3415,171
431,2022-03-08,38,1107,61
432,2022-03-09,128,2480,176
433,2022-03-10,48,625,65
434,2022-03-11,71,655,131
435,2022-03-12,89,2163,152
436,2022-03-13,153,4513,153
437,2022-03-14,94,3977,174
438,2022-03-15,36,3490,64
439,2022-03-16,125,3007,176
440,2022-03-17,41,1931,47
441,2022-03-18,59,4198,187
442,2022-03-19,77,2493,90
443,2022-03-20,121,4988,182
444,2022-03-21,100,3072,107
445,2022-03-22,51,3401,192
446,2022-03-23,82,1851,133
447,2022-03-24,34,4973,187
448,2022-03-25,60,3752,71
449,2022-03-26,86,2034,129
450,2022-03-27,21,3974,39
451,2022-03-28,34,2853,36
452,2022-03-29,117,1024,170
453,2022-03-30,25,2066,31
454,2022-03-31,27,3624,35
455,2022-04-01,49,1789,54
456,2022-04-02,26,3056,179
457,2022-04-03,83,1461,87
458,2022-04-04,150,2089,187
459,2022-04-05,92,3227,95
460,2022-04-06,44,3660,129
461,2022-04-07,46,2723,64
462,2022-04-08,46,436,86
463,2022-04-09,187,2441,198
464,2022-04-10,61,2131,191
465,2022-04-11,24,4171,25
466,2022-04-12,167,2290,174
467,2022-04-13,89,4042,100
468,2022-04-14,25,1404,29
469,2022-04-15,23,2656,25
470,2022-04-16,104,1652,139
471,2022-04-17,44,2313,175
472,2022-04-18,69,4117,85
473,2022-04-19,45,1773,163
474,2022-04-20,61,377,193
475,2022-04-21,21,3582,123
476,2022-04-22,41,602,45
477,2022-04-23,89,3719,113
478,2022-04-24,49,3308,139
479,2022-04-25,79,1152,192
480,2022-04-26,47,1481,49
481,2022-04-27,58,3347,106
482,2022-04-28,23,1103,23
483,2022-04-29,36,1743,154
484,2022-04-30,33,4385,190
485,2022-05-01,36,3683,43
486,2022-05-02,28,4216,45
487,2022-05-03,98,3321,111
488,2022-05-04,41,2317,160
489,2022-05-05,49,2287,159
490,2022-05-06,30,220,46
491,2022-05-07,109,1984,136
492,2022-05-08,91,277,117
493,2022-05-09,97,3563,114
494,2022-05-10,64,4157,102
495,2022-05-11,27,3421,30
496,2022-05-12,54,1560,139
497,2022-05-13,47,950,54
498,2022-05-14,100,4970,125
499,2022-05-15,24,491,133
500,2022-05-16,85,3553,138
501,2022-05-17,28,463,37
502,2022-05-18,157,1802,173
503,2022-05-19,74,2160,186
504,2022-05-20,44,251,67
505,2022-05-21,28,4580,29
506,2022-05-22,114,4187,194
507,2022-05-23,108,270,118
508,2022-05-24,103,4803,134
509,2022-05-25,69,3483,179
510,2022-05-26,39,214,162
511,2022-05-27,43,1693,104
512,2022-05-28,38,118,61
513,2022-05-29,43,4250,131
514,2022-05-30,112,2099,144
515,2022-05-31,29,1773,29
516,2022-06-01,38,4356,96
517,2022-06-02,120,2363,126
518,2022-06-03,38,2878,163
519,2022-06-04,138,4901,181
520,2022-06-05,46,3510,169
521,2022-06-06,50,3970,73
522,2022-06-07,50,3744,72
523,2022-06-08,56,392,193
524,2022-06-09,97,518,116
525,2022-06-10,47,1015,50
526,2022-06-11,138,1518,154
527,2022-06-12,35,1078,185
528,2022-06-13,24,3098,36
529,2022-06-14,90,1372,95
530,2022-06-15,89,670,142
531,2022-06-16,39,3065,43
532,2022-06-17,59,4303,132
533,2022-06-18,69,1998,178
534,2022-06-19,70,556,72
535,2022-06-20,53,3094,70
536,2022-06-21,49,3911,55
537,2022-06-22,117,4600,119
538,2022-06-23,29,3241,153
539,2022-06-24,60,3892,149
540,2022-06-25,59,3284,146
541,2022-06-26,151,4511,180
542,2022-06-27,140,952,143
543,2022-06-28,57,2212,65
544,2022-06-29,129,1259,182
545,2022-06-30,160,4418,171
546,2022-07-01,20,4790,21
547,2022-07-02,96,3515,98
548,2022-07-03,47,4678,103
549,2022-07-04,29,4446,39
550,2022-07-05,72,2303,120
551,2022-07-06,20,4202,26
552,2022-07-07,24,1581,26
553,2022-07-08,21,1186,195
554,2022-07-09,29,81,57
555,2022-07-10,20,4970,21
556,2022-07-11,34,545,52
557,2022-07-12,26,1188,114
558,2022-07-13,98,2949,131
559,2022-07-14,138,4041,168
560,2022-07-15,35,516,88
561,2022-07-16,148,2026,199
562,2022-07-17,50,1294,136
563,2022-07-18,76,3354,111
564,2022-07-19,137,2705,168
565,2022-07-20,27,1847,31
566,2022-07-21,40,4381,129
567,2022-07-22,25,4442,108
568,2022-07-23,47,3961,126
569,2022-07-24,26,657,58
570,2022-07-25,21,4738,29
571,2022-07-26,59,3839,139
572,2022-07-27,20,2070,125
573,2022-07-28,52,4194,140
574,2022-07-29,51,1101,96
575,2022-07-30,39,4356,175
576,2022-07-31,138,1247,156
577,2022-08-01,61,4979,177
578,2022-08-02,67,3396,102
579,2022-08-03,70,1262,187
580,2022-08-04,141,4819,163
581,2022-08-05,39,751,41
582,2022-08-06,26,832,34
583,2022-08-07,77,2745,78
584,2022-08-08,24,2401,31
585,2022-08-09,47,2795,93
586,2022-08-10,27,4972,41
587,2022-08-11,27,2791,101
588,2022-08-12,54,2660,103
589,2022-08-13,38,819,127
590,2022-08-14,30,494,100
591,2022-08-15,35,2095,173
592,2022-08-16,31,502,38
593,2022-08-17,24,4328,24
594,2022-08-18,42,832,86
595,2022-08-19,29,1947,155
596,2022-08-20,33,4255,125
597,2022-08-21,23,2580,34
598,2022-08-22,38,1741,116
599,2022-08-23,22,528,39
600,2022-08-24,73,1574,181
601,2022-08-25,24,562,24
602,2022-08-26,118,720,135
603,2022-08-27,36,2969,122
604,2022-08-28,57,2100,104
605,2022-08-29,22,3723,40
606,2022-08-30,94,4019,99
607,2022-08-31,70,811,71
608,2022-09-01,139,265,149
609,2022-09-02,97,995,148
610,2022-09-03,81,3379,126
611,2022-09-04,52,2791,94
612,2022-09-05,33,1418,82
613,2022-09-06,86,1171,140
614,2022-09-07,66,1738,132
615,2022-09-08,20,916,66
616,2022-09-09,72,484,197
617,2022-09-10,79,4577,113
618,2022-09-11,24,1009,26
619,2022-09-12,23,276,35
620,2022-09-13,75,4362,147
621,2022-09-14,70,3484,198
622,2022-09-15,173,936,195
623,2022-09-16,32,1251,118
624,2022-09-17,118,1926,124
625,2022-09-18,44,4313,110
626,2022-09-19,43,2261,109
627,2022-09-20,108,1841,122
628,2022-09-21,178,2546,190
629,2022-09-22,47,4089,132
630,2022-09-23,118,1208,199
631,2022-09-24,26,287,92
632,2022-09-25,55,271,114
633,2022-09-26,35,779,75
634,2022-09-27,117,3515,189
635,2022-09-28,26,4911,39
636,2022-09-29,115,4626,117
637,2022-09-30,107,3663,178
638,2022-10-01,66,2194,98
639,2022-10-02,39,1668,118
640,2022-10-03,36,3112,113
641,2022-10-04,167,4733,190
642,2022-10-05,123,1772,195
643,2022-10-06,55,3695,138
644,2022-10-07,121,3378,192
645,2022-10-08,57,3853,163
646,2022-10-09,36,1176,109
647,2022-10-10,20,4105,26
648,2022-10-11,86,4674,157
649,2022-10-12,67,4706,69
650,2022-10-13,152,3060,198
651,2022-10-14,23,800,24
652,2022-10-15,89,3059,178
653,2022-10-16,61,4241,84
654,2022-10-17,87,4207,125
655,2022-10-18,47,2211,99
656,2022-10-19,54,1487,183
657,2022-10-20,148,3882,181
658,2022-10-21,20,3785,38
659,2022-10-22,41,3701,91
660,2022-10-23,69,482,91
661,2022-10-24,58,3026,112
662,2022-10-25,66,2093,88
663,2022-10-26,28,3656,47
664,2022-10-27,27,1568,181
665,2022-10-28,116,3201,122
666,2022-10-29,28,2848,159
667,2022-10-30,84,3977,143
668,2022-10-31,45,258,133
669,2022-11-01,33,2733,111
670,2022-11-02,75,1332,104
671,2022-11-03,65,2140,95
672,2022-11-04,140,4998,187
673,2022-11-05,41,3207,86
674,2022-11-06,111,4396,147
675,2022-11-07,62,4987,90
676,2022-11-08,65,613,138
677,2022-11-09,99,2622,167
678,2022-11-10,168,724,169
679,2022-11-11,23,3999,76
680,2022-11-12,33,451,125
681,2022-11-13,20,4825,22
682,2022-11-14,20,4856,47
683,2022-11-15,28,4013,147
684,2022-11-16,177,2311,184
685,2022-11-17,36,2835,77
686,2022-11-18,73,242,97
687,2022-11-19,58,4864,65
688,2022-11-20,149,1454,163
689,2022-11-21,48,700,97
690,2022-11-22,71,2317,116
691,2022-11-23,36,2232,63
692,2022-11-24,59,2153,136
693,2022-11-25,50,1395,55
694,2022-11-26,68,4865,197
695,2022-11-27,62,2660,104
696,2022-11-28,101,1634,150
697,2022-11-29,29,1015,30
698,2022-11-30,84,3795,167
699,2022-12-01,86,3320,161
700,2022-12-02,38,4367,46
701,2022-12-03,110,4228,150
702,2022-12-04,56,3136,59
703,2022-12-05,79,125,92
704,2022-12-06,52,1935,52
705,2022-12-07,130,1050,169
706,2022-12-08,31,4496,53
707,2022-12-09,27,2155,179
708,2022-12-10,62,3239,72
709,2022-12-11,31,747,31
710,2022-12-12,58,2051,101
711,2022-12-13,129,1505,170
712,2022-12-14,113,1041,115
713,2022-12-15,46,2997,60
714,2022-12-16,23,952,196
715,2022-12-17,23,3518,40
716,2022-12-18,57,557,67
717,2022-12-19,59,3545,149
718,2022-12-20,157,1379,184
719,2022-12-21,55,1112,90
720,2022-12-22,138,3707,153
721,2022-12-23,65,2629,112
722,2022-12-24,37,3314,108
723,2022-12-25,63,1595,160
724,2022-12-26,23,846,32
725,2022-12-27,25,1872,35
726,2022-12-28,141,4245,141
727,2022-12-29,97,3593,120
728,2022-12-30,71,1328,127
729,2022-12-31,47,4584,72
730,2023-01-01,57,3013,82
