,date,totalRequests,successfulRequests,failedRequests
159,2021-06-09,2380,2264,116
160,2021-06-10,3883,3788,95
161,2021-06-11,2377,2362,15
162,2021-06-12,3301,3255,46
163,2021-06-13,3590,3481,109
164,2021-06-14,3361,3266,95
165,2021-06-15,4450,4360,90
166,2021-06-16,526,522,4
167,2021-06-17,2473,2366,107
168,2021-06-18,4759,4724,35
169,2021-06-19,4356,4268,88
170,2021-06-20,4533,4389,144
171,2021-06-21,3557,3519,38
172,2021-06-22,2986,2861,125
173,2021-06-23,3201,3073,128
174,2021-06-24,3480,3462,18
175,2021-06-25,4655,4607,48
176,2021-06-26,2614,2521,93
177,2021-06-27,222,219,3
178,2021-06-28,4614,4429,185
179,2021-06-29,4495,4314,181
180,2021-06-30,2781,2649,132
181,2021-07-01,246,243,3
182,2021-07-02,2322,2289,33
183,2021-07-03,2046,1957,89
184,2021-07-04,4973,4771,202
185,2021-07-05,4378,4349,29
186,2021-07-06,4840,4751,89
187,2021-07-07,1600,1574,26
188,2021-07-08,2599,2550,49
189,2021-07-09,3003,2885,118
190,2021-07-10,373,360,13
191,2021-07-11,4663,4571,92
192,2021-07-12,2972,2880,92
193,2021-07-13,4056,3946,110
194,2021-07-14,1274,1264,10
195,2021-07-15,1360,1315,45
196,2021-07-16,495,489,6
197,2021-07-17,857,855,2
198,2021-07-18,2663,2577,86
199,2021-07-19,666,664,2
200,2021-07-20,2759,2665,94
201,2021-07-21,2709,2682,27
202,2021-07-22,1423,1364,59
203,2021-07-23,4012,3913,99
204,2021-07-24,908,880,28
205,2021-07-25,3795,3778,17
206,2021-07-26,3239,3158,81
207,2021-07-27,3032,2961,71
208,2021-07-28,1806,1736,70
209,2021-07-29,3260,3220,40
210,2021-07-30,4263,4224,39
211,2021-07-31,4323,4318,5
212,2021-08-01,3029,2941,88
213,2021-08-02,2765,2719,46
214,2021-08-03,2513,2486,27
215,2021-08-04,772,771,1
216,2021-08-05,95,92,3
217,2021-08-06,2334,2279,55
218,2021-08-07,4908,4671,237
219,2021-08-08,2325,2247,78
220,2021-08-09,4014,4005,9
221,2021-08-10,4917,4834,83
222,2021-08-11,640,619,21
223,2021-08-12,1182,1145,37
224,2021-08-13,3928,3903,25
225,2021-08-14,2798,2663,135
226,2021-08-15,1366,1314,52
227,2021-08-16,1510,1465,45
228,2021-08-17,2016,2010,6
229,2021-08-18,3713,3608,105
230,2021-08-19,3577,3478,99
231,2021-08-20,3820,3707,113
232,2021-08-21,2276,2195,81
233,2021-08-22,184,177,7
234,2021-08-23,3708,3580,128
235,2021-08-24,1896,1814,82
236,2021-08-25,3407,3397,10
237,2021-08-26,2780,2679,101
238,2021-08-27,2880,2760,120
239,2021-08-28,4120,3953,167
240,2021-08-29,4034,3992,42
241,2021-08-30,1962,1892,70
242,2021-08-31,4751,4668,83
243,2021-09-01,3280,3258,22
244,2021-09-02,2719,2592,127
245,2021-09-03,2825,2783,42
246,2021-09-04,2089,1993,96
247,2021-09-05,2425,2342,83
248,2021-09-06,945,938,7
249,2021-09-07,2813,2712,101
250,2021-09-08,2147,2043,104
251,2021-09-09,2157,2128,29
252,2021-09-10,2039,2019,20
253,2021-09-11,4387,4221,166
254,2021-09-12,308,299,9
255,2021-09-13,3080,2977,103
256,2021-09-14,1448,1446,2
257,2021-09-15,3027,3020,7
258,2021-09-16,4952,4767,185
259,2021-09-17,4429,4278,151
260,2021-09-18,1498,1466,32
261,2021-09-19,4453,4352,101
262,2021-09-20,3394,3350,44
263,2021-09-21,1568,1498,70
264,2021-09-22,4096,3944,152
265,2021-09-23,761,745,16
266,2021-09-24,2318,2206,112
267,2021-09-25,4862,4757,105
268,2021-09-26,3461,3306,155
269,2021-09-27,2871,2759,112
270,2021-09-28,4853,4631,222
271,2021-09-29,1812,1763,49
272,2021-09-30,2721,2591,130
273,2021-10-01,4085,3992,93
274,2021-10-02,3684,3504,180
275,2021-10-03,4108,4013,95
276,2021-10-04,2342,2226,116
277,2021-10-05,852,839,13
278,2021-10-06,4206,4127,79
279,2021-10-07,1217,1171,46
280,2021-10-08,571,557,14
281,2021-10-09,2786,2702,84
282,2021-10-10,2985,2913,72
283,2021-10-11,1553,1525,28
284,2021-10-12,125,124,1
285,2021-10-13,2146,2064,82
286,2021-10-14,1707,1635,72
287,2021-10-15,2595,2532,63
288,2021-10-16,976,934,42
289,2021-10-17,642,619,23
290,2021-10-18,2688,2622,66
291,2021-10-19,2239,2161,78
292,2021-10-20,4959,4901,58
293,2021-10-21,3899,3863,36
294,2021-10-22,2201,2177,24
295,2021-10-23,1378,1343,35
296,2021-10-24,4203,4148,55
297,2021-10-25,2475,2409,66
298,2021-10-26,1547,1537,10
299,2021-10-27,1494,1476,18
300,2021-10-28,3237,3079,158
301,2021-10-29,91,89,2
302,2021-10-30,9,9,0
303,2021-10-31,3921,3904,17
304,2021-11-01,687,659,28
305,2021-11-02,3581,3455,126
306,2021-11-03,4518,4492,26
307,2021-11-04,1957,1878,79
308,2021-11-05,1042,1025,17
309,2021-11-06,1785,1750,35
310,2021-11-07,4093,3953,140
311,2021-11-08,2859,2782,77
312,2021-11-09,938,893,45
313,2021-11-10,1776,1696,80
314,2021-11-11,3034,2891,143
315,2021-11-12,4984,4982,2
316,2021-11-13,2038,2021,17
317,2021-11-14,2272,2223,49
318,2021-11-15,719,688,31
319,2021-11-16,2929,2791,138
320,2021-11-17,2224,2137,87
321,2021-11-18,166,159,7
322,2021-11-19,4826,4805,21
323,2021-11-20,4912,4859,53
324,2021-11-21,1467,1453,14
325,2021-11-22,4055,3955,100
326,2021-11-23,4286,4113,173
327,2021-11-24,2484,2476,8
328,2021-11-25,2171,2158,13
329,2021-11-26,2808,2761,47
330,2021-11-27,360,346,14
331,2021-11-28,4392,4282,110
332,2021-11-29,4666,4527,139
333,2021-11-30,284,278,6
334,2021-12-01,3017,2898,119
335,2021-12-02,4334,4244,90
336,2021-12-03,648,640,8
337,2021-12-04,4834,4620,214
338,2021-12-05,3179,3083,96
339,2021-12-06,2879,2737,142
340,2021-12-07,2037,2017,20
341,2021-12-08,260,250,10
342,2021-12-09,352,348,4
343,2021-12-10,4645,4639,6
344,2021-12-11,4146,3997,149
345,2021-12-12,1694,1669,25
346,2021-12-13,1902,1872,30
347,2021-12-14,3286,3174,112
348,2021-12-15,3389,3368,21
349,2021-12-16,1363,1323,40
350,2021-12-17,3912,3875,37
351,2021-12-18,3875,3699,176
352,2021-12-19,4618,4530,88
353,2021-12-20,1097,1075,22
354,2021-12-21,2692,2596,96
355,2021-12-22,4074,4006,68
356,2021-12-23,3591,3474,117
357,2021-12-24,2395,2304,91
358,2021-12-25,3011,2956,55
359,2021-12-26,390,379,11
360,2021-12-27,577,562,15
361,2021-12-28,3557,3475,82
362,2021-12-29,211,211,0
363,2021-12-30,1443,1432,11
364,2021-12-31,4329,4179,150
365,2022-01-01,76,73,3
366,2022-01-02,4281,4220,61
367,2022-01-03,1739,1679,60
368,2022-01-04,104,100,4
369,2022-01-05,3047,2902,145
370,2022-01-06,1189,1145,44
371,2022-01-07,3225,3109,116
372,2022-01-08,2939,2895,44
373,2022-01-09,4901,4826,75
374,2022-01-10,1804,1721,83
375,2022-01-11,311,300,11
376,2022-01-12,2350,2303,47
377,2022-01-13,1858,1802,56
378,2022-01-14,3968,3798,170
379,2022-01-15,3131,3090,41
380,2022-01-16,2540,2481,59
381,2022-01-17,3600,3424,176
382,2022-01-18,2011,1987,24
383,2022-01-19,4057,4055,2
384,2022-01-20,906,905,1
385,2022-01-21,2793,2737,56
386,2022-01-22,4227,4024,203
387,2022-01-23,3209,3120,89
388,2022-01-24,4763,4636,127
389,2022-01-25,3018,2885,133
390,2022-01-26,2842,2731,111
391,2022-01-27,563,542,21
392,2022-01-28,3141,3041,100
393,2022-01-29,3081,2976,105
394,2022-01-30,4971,4971,0
395,2022-01-31,3166,3076,90
396,2022-02-01,246,241,5
397,2022-02-02,3668,3529,139
398,2022-02-03,41,40,1
399,2022-02-04,3805,3711,94
400,2022-02-05,1721,1686,35
401,2022-02-06,1435,1419,16
402,2022-02-07,301,297,4
403,2022-02-08,4706,4500,206
404,2022-02-09,951,913,38
405,2022-02-10,2125,2099,26
406,2022-02-11,2473,2460,13
407,2022-02-12,3167,3083,84
408,2022-02-13,4974,4940,34
409,2022-02-14,3152,2995,157
410,2022-02-15,2813,2708,105
411,2022-02-16,3673,3616,57
412,2022-02-17,2524,2404,120
413,2022-02-18,1571,1494,77
414,2022-02-19,155,150,5
415,2022-02-20,4310,4247,63
416,2022-02-21,4899,4658,241
417,2022-02-22,1130,1091,39
418,2022-02-23,4207,4105,102
419,2022-02-24,802,798,4
420,2022-02-25,697,678,19
421,2022-02-26,1753,1747,6
422,2022-02-27,534,524,10
423,2022-02-28,1451,1416,35
424,2022-03-01,206,205,1
425,2022-03-02,2236,2206,30
426,2022-03-03,46,46,0
427,2022-03-04,3260,3250,10
428,2022-03-05,1308,1276,32
429,2022-03-06,1847,1771,76
430,2022-03-07,3133,3092,41
431,2022-03-08,2520,2515,5
432,2022-03-09,3346,3269,77
433,2022-03-10,2951,2933,18
434,2022-03-11,1110,1100,10
435,2022-03-12,1516,1446,70
436,2022-03-13,4190,4169,21
437,2022-03-14,4649,4519,130
438,2022-03-15,1939,1873,66
439,2022-03-16,519,516,3
440,2022-03-17,4720,4553,167
441,2022-03-18,2915,2875,40
442,2022-03-19,4088,3993,95
443,2022-03-20,750,722,28
444,2022-03-21,4224,4018,206
445,2022-03-22,830,799,31
446,2022-03-23,3873,3848,25
447,2022-03-24,3718,3545,173
448,2022-03-25,969,945,24
449,2022-03-26,1345,1290,55
450,2022-03-27,1573,1501,72
451,2022-03-28,1804,1751,53
452,2022-03-29,2234,2225,9
453,2022-03-30,4661,4627,34
454,2022-03-31,752,748,4
455,2022-04-01,1723,1657,66
456,2022-04-02,2195,2158,37
457,2022-04-03,1797,1747,50
458,2022-04-04,1675,1610,65
459,2022-04-05,2765,2720,45
460,2022-04-06,2670,2600,70
461,2022-04-07,133,133,0
462,2022-04-08,1611,1586,25
463,2022-04-09,2216,2207,9
464,2022-04-10,664,654,10
465,2022-04-11,2659,2618,41
466,2022-04-12,3338,3277,61
467,2022-04-13,2556,2507,49
468,2022-04-14,4920,4757,163
469,2022-04-15,1288,1229,59
470,2022-04-16,3468,3450,18
471,2022-04-17,1176,1143,33
472,2022-04-18,2713,2676,37
473,2022-04-19,91,90,1
474,2022-04-20,2966,2832,134
475,2022-04-21,2955,2841,114
476,2022-04-22,3271,3245,26
477,2022-04-23,398,394,4
478,2022-04-24,2043,1974,69
479,2022-04-25,4701,4656,45
480,2022-04-26,2194,2107,87
481,2022-04-27,1171,1114,57
482,2022-04-28,2800,2666,134
483,2022-04-29,2148,2108,40
484,2022-04-30,3939,3900,39
485,2022-05-01,3678,3577,101
486,2022-05-02,7,7,0
487,2022-05-03,2670,2629,41
488,2022-05-04,4011,3933,78
489,2022-05-05,2150,2124,26
490,2022-05-06,1841,1811,30
491,2022-05-07,3328,3309,19
492,2022-05-08,2975,2888,87
493,2022-05-09,4217,4127,90
494,2022-05-10,4070,3899,171
495,2022-05-11,1611,1585,26
496,2022-05-12,1737,1665,72
497,2022-05-13,3959,3908,51
498,2022-05-14,4637,4411,226
499,2022-05-15,3167,3109,58
500,2022-05-16,3235,3155,80
501,2022-05-17,4293,4143,150
502,2022-05-18,280,272,8
503,2022-05-19,3539,3461,78
504,2022-05-20,1416,1382,34
505,2022-05-21,4824,4598,226
506,2022-05-22,2219,2159,60
507,2022-05-23,2522,2522,0
508,2022-05-24,1190,1171,19
509,2022-05-25,560,555,5
510,2022-05-26,3772,3691,81
511,2022-05-27,1520,1473,47
512,2022-05-28,3031,2888,143
513,2022-05-29,4573,4504,69
514,2022-05-30,2089,2041,48
515,2022-05-31,812,801,11
516,2022-06-01,1122,1092,30
517,2022-06-02,4118,4075,43
518,2022-06-03,3228,3152,76
519,2022-06-04,1063,1036,27
520,2022-06-05,1133,1088,45
521,2022-06-06,1080,1063,17
522,2022-06-07,3766,3599,167
523,2022-06-08,4524,4392,132
524,2022-06-09,215,207,8
525,2022-06-10,1244,1230,14
526,2022-06-11,1447,1396,51
527,2022-06-12,1238,1200,38
528,2022-06-13,1277,1274,3
529,2022-06-14,4887,4700,187
530,2022-06-15,2794,2683,111
531,2022-06-16,2421,2317,104
532,2022-06-17,1526,1491,35
533,2022-06-18,2680,2642,38
534,2022-06-19,3061,3020,41
535,2022-06-20,3643,3481,162
536,2022-06-21,3037,2980,57
537,2022-06-22,501,485,16
538,2022-06-23,1642,1605,37
539,2022-06-24,1509,1447,62
540,2022-06-25,2642,2561,81
541,2022-06-26,3879,3852,27
542,2022-06-27,127,126,1
543,2022-06-28,4781,4760,21
544,2022-06-29,3610,3549,61
545,2022-06-30,3659,3556,103
546,2022-07-01,3226,3192,34
547,2022-07-02,171,167,4
548,2022-07-03,1550,1515,35
549,2022-07-04,1838,1756,82
550,2022-07-05,2498,2444,54
551,2022-07-06,1000,997,3
552,2022-07-07,1050,1006,44
553,2022-07-08,260,256,4
554,2022-07-09,314,305,9
555,2022-07-10,4460,4438,22
556,2022-07-11,2678,2575,103
557,2022-07-12,4856,4619,237
558,2022-07-13,985,955,30
559,2022-07-14,2733,2711,22
560,2022-07-15,111,111,0
561,2022-07-16,2225,2170,55
562,2022-07-17,246,241,5
563,2022-07-18,3224,3191,33
564,2022-07-19,4968,4964,4
565,2022-07-20,3847,3764,83
566,2022-07-21,4243,4070,173
567,2022-07-22,1990,1946,44
568,2022-07-23,4384,4168,216
569,2022-07-24,1696,1624,72
570,2022-07-25,49,49,0
571,2022-07-26,3190,3165,25
572,2022-07-27,924,918,6
573,2022-07-28,2322,2286,36
574,2022-07-29,1616,1540,76
575,2022-07-30,4511,4344,167
576,2022-07-31,3232,3138,94
577,2022-08-01,4966,4895,71
578,2022-08-02,4798,4612,186
579,2022-08-03,1553,1485,68
580,2022-08-04,3173,3161,12
581,2022-08-05,186,181,5
582,2022-08-06,2798,2766,32
583,2022-08-07,2903,2767,136
584,2022-08-08,3968,3955,13
585,2022-08-09,2177,2116,61
586,2022-08-10,3031,2983,48
587,2022-08-11,3800,3710,90
588,2022-08-12,3014,2896,118
589,2022-08-13,254,243,11
590,2022-08-14,1108,1055,53
591,2022-08-15,4132,4013,119
592,2022-08-16,4447,4391,56
593,2022-08-17,2018,2018,0
594,2022-08-18,4187,4124,63
595,2022-08-19,4245,4050,195
596,2022-08-20,1025,1002,23
597,2022-08-21,1747,1664,83
598,2022-08-22,3820,3661,159
599,2022-08-23,3866,3820,46
600,2022-08-24,1338,1316,22
601,2022-08-25,789,763,26
602,2022-08-26,3082,2974,108
603,2022-08-27,4015,3855,160
604,2022-08-28,3623,3460,163
605,2022-08-29,1324,1280,44
606,2022-08-30,1503,1490,13
607,2022-08-31,3277,3219,58
608,2022-09-01,934,891,43
609,2022-09-02,540,529,11
610,2022-09-03,2158,2149,9
611,2022-09-04,3004,2935,69
612,2022-09-05,2488,2410,78
613,2022-09-06,4590,4401,189
614,2022-09-07,1866,1788,78
615,2022-09-08,4973,4894,79
616,2022-09-09,1252,1190,62
617,2022-09-10,4748,4555,193
618,2022-09-11,1435,1374,61
619,2022-09-12,3848,3695,153
620,2022-09-13,4629,4531,98
621,2022-09-14,4087,4076,11
622,2022-09-15,4147,4136,11
623,2022-09-16,652,647,5
624,2022-09-17,3396,3354,42
625,2022-09-18,4252,4246,6
626,2022-09-19,3223,3196,27
627,2022-09-20,4001,3956,45
628,2022-09-21,2964,2861,103
629,2022-09-22,4494,4493,1
630,2022-09-23,3598,3470,128
631,2022-09-24,1653,1613,40
632,2022-09-25,538,518,20
633,2022-09-26,4448,4344,104
634,2022-09-27,4839,4626,213
635,2022-09-28,3135,3033,102
636,2022-09-29,2621,2585,36
637,2022-09-30,603,599,4
638,2022-10-01,2134,2034,100
639,2022-10-02,3727,3717,10
640,2022-10-03,2003,2000,3
641,2022-10-04,1304,1251,53
642,2022-10-05,2903,2815,88
643,2022-10-06,2476,2443,33
644,2022-10-07,2148,2114,34
645,2022-10-08,4212,4089,123
646,2022-10-09,4715,4551,164
647,2022-10-10,359,359,0
648,2022-10-11,3456,3303,153
649,2022-10-12,1793,1788,5
650,2022-10-13,3338,3210,128
651,2022-10-14,256,244,12
652,2022-10-15,243,242,1
653,2022-10-16,2284,2234,50
654,2022-10-17,95,91,4
655,2022-10-18,4033,3969,64
656,2022-10-19,2986,2984,2
657,2022-10-20,1463,1418,45
658,2022-10-21,2030,2013,17
659,2022-10-22,451,443,8
660,2022-10-23,2296,2281,15
661,2022-10-24,4896,4829,67
662,2022-10-25,532,523,9
663,2022-10-26,4083,4054,29
664,2022-10-27,4230,4111,119
665,2022-10-28,2241,2187,54
666,2022-10-29,1788,1781,7
667,2022-10-30,4915,4830,85
668,2022-10-31,2425,2382,43
669,2022-11-01,2044,1978,66
670,2022-11-02,6,6,0
671,2022-11-03,3818,3632,186
672,2022-11-04,3986,3928,58
673,2022-11-05,1604,1528,76
674,2022-11-06,3798,3756,42
675,2022-11-07,3597,3536,61
676,2022-11-08,2234,2220,14
677,2022-11-09,1558,1557,1
678,2022-11-10,613,592,21
679,2022-11-11,1347,1298,49
680,2022-11-12,76,74,2
681,2022-11-13,1813,1757,56
682,2022-11-14,3038,2947,91
683,2022-11-15,4286,4140,146
684,2022-11-16,4255,4170,85
685,2022-11-17,4533,4518,15
686,2022-11-18,2174,2079,95
687,2022-11-19,3972,3843,129
688,2022-11-20,4819,4744,75
689,2022-11-21,4145,4114,31
690,2022-11-22,757,750,7
691,2022-11-23,4541,4393,148
692,2022-11-24,4930,4850,80
693,2022-11-25,4467,4294,173
694,2022-11-26,3058,2981,77
695,2022-11-27,860,853,7
696,2022-11-28,951,938,13
697,2022-11-29,47,47,0
698,2022-11-30,3273,3211,62
699,2022-12-01,568,544,24
700,2022-12-02,4986,4743,243
701,2022-12-03,1816,1732,84
702,2022-12-04,3642,3501,141
703,2022-12-05,4547,4371,176
704,2022-12-06,4691,4466,225
705,2022-12-07,1566,1560,6
706,2022-12-08,2621,2543,78
707,2022-12-09,4037,3842,195
708,2022-12-10,3869,3740,129
709,2022-12-11,4747,4542,205
710,2022-12-12,501,496,5
711,2022-12-13,3215,3182,33
712,2022-12-14,4486,4421,65
713,2022-12-15,2833,2817,16
714,2022-12-16,3164,3056,108
715,2022-12-17,3603,3582,21
716,2022-12-18,173,166,7
717,2022-12-19,1325,1293,32
718,2022-12-20,882,867,15
719,2022-12-21,301,291,10
720,2022-12-22,1993,1982,11
721,2022-12-23,503,486,17
722,2022-12-24,341,335,6
723,2022-12-25,162,158,4
724,2022-12-26,1286,1280,6
725,2022-12-27,4659,4589,70
726,2022-12-28,314,312,2
727,2022-12-29,1543,1506,37
728,2022-12-30,4406,4212,194
729,2022-12-31,3943,3918,25
730,2023-01-01,2046,1988,58
